---- EP [1/5] | BTCH [1/1615] ||| train_loss = 0.01647 ----
---- EP [1/5] | BTCH [1417/1615] ||| train_loss = 0.01531 ----
---- EP [1/5] | BTCH [1418/1615] ||| train_loss = 0.00846 ----
---- EP [1/5] | BTCH [1419/1615] ||| train_loss = 0.01599 ----
---- EP [1/5] | BTCH [1420/1615] ||| train_loss = 0.01146 ----
---- EP [1/5] | BTCH [1421/1615] ||| train_loss = 0.02033 ----
---- EP [1/5] | BTCH [1422/1615] ||| train_loss = 0.01695 ----
---- EP [1/5] | BTCH [1423/1615] ||| train_loss = 0.01460 ----
---- EP [1/5] | BTCH [1424/1615] ||| train_loss = 0.00984 ----
---- EP [1/5] | BTCH [1425/1615] ||| train_loss = 0.00920 ----
---- EP [1/5] | BTCH [1426/1615] ||| train_loss = 0.01107 ----
---- EP [1/5] | BTCH [1427/1615] ||| train_loss = 0.00918 ----
---- EP [1/5] | BTCH [1428/1615] ||| train_loss = 0.01235 ----
---- EP [1/5] | BTCH [1429/1615] ||| train_loss = 0.00846 ----
---- EP [1/5] | BTCH [1430/1615] ||| train_loss = 0.01129 ----
---- EP [1/5] | BTCH [1431/1615] ||| train_loss = 0.01046 ----
---- EP [1/5] | BTCH [1432/1615] ||| train_loss = 0.01105 ----
---- EP [1/5] | BTCH [1433/1615] ||| train_loss = 0.01174 ----
---- EP [1/5] | BTCH [1434/1615] ||| train_loss = 0.01159 ----
---- EP [1/5] | BTCH [1435/1615] ||| train_loss = 0.01304 ----
---- EP [1/5] | BTCH [1436/1615] ||| train_loss = 0.00779 ----
---- EP [1/5] | BTCH [1437/1615] ||| train_loss = 0.01221 ----
---- EP [1/5] | BTCH [1438/1615] ||| train_loss = 0.01141 ----
---- EP [1/5] | BTCH [1439/1615] ||| train_loss = 0.01054 ----
---- EP [1/5] | BTCH [1440/1615] ||| train_loss = 0.01360 ----
---- EP [1/5] | BTCH [1441/1615] ||| train_loss = 0.00488 ----
---- EP [1/5] | BTCH [1442/1615] ||| train_loss = 0.01352 ----
---- EP [1/5] | BTCH [1443/1615] ||| train_loss = 0.01232 ----
---- EP [1/5] | BTCH [1444/1615] ||| train_loss = 0.00944 ----
---- EP [1/5] | BTCH [1445/1615] ||| train_loss = 0.00971 ----
---- EP [1/5] | BTCH [1446/1615] ||| train_loss = 0.01719 ----
---- EP [1/5] | BTCH [1447/1615] ||| train_loss = 0.00960 ----
---- EP [1/5] | BTCH [1448/1615] ||| train_loss = 0.01210 ----
---- EP [1/5] | BTCH [1449/1615] ||| train_loss = 0.01255 ----
VAL ||| loss = 0.012474292534502876, psnr = 31.2286376953125, ssim = 0.9127190709114075
---- EP [1/5] | BTCH [1450/1615] ||| train_loss = 0.01156 ----
---- EP [1/5] | BTCH [1451/1615] ||| train_loss = 0.01102 ----
---- EP [1/5] | BTCH [1452/1615] ||| train_loss = 0.01284 ----
---- EP [1/5] | BTCH [1453/1615] ||| train_loss = 0.01322 ----
---- EP [1/5] | BTCH [1454/1615] ||| train_loss = 0.02727 ----
---- EP [1/5] | BTCH [1455/1615] ||| train_loss = 0.01016 ----
---- EP [1/5] | BTCH [1456/1615] ||| train_loss = 0.01056 ----
---- EP [1/5] | BTCH [1457/1615] ||| train_loss = 0.00985 ----
---- EP [1/5] | BTCH [1458/1615] ||| train_loss = 0.01045 ----
---- EP [1/5] | BTCH [1459/1615] ||| train_loss = 0.01494 ----
---- EP [1/5] | BTCH [1460/1615] ||| train_loss = 0.01257 ----
---- EP [1/5] | BTCH [1461/1615] ||| train_loss = 0.00790 ----
---- EP [1/5] | BTCH [1462/1615] ||| train_loss = 0.01194 ----
---- EP [1/5] | BTCH [1463/1615] ||| train_loss = 0.01072 ----
---- EP [1/5] | BTCH [1464/1615] ||| train_loss = 0.01223 ----
---- EP [1/5] | BTCH [1465/1615] ||| train_loss = 0.01517 ----
---- EP [1/5] | BTCH [1466/1615] ||| train_loss = 0.00720 ----
---- EP [1/5] | BTCH [1467/1615] ||| train_loss = 0.01214 ----
---- EP [1/5] | BTCH [1468/1615] ||| train_loss = 0.01133 ----
---- EP [1/5] | BTCH [1469/1615] ||| train_loss = 0.01098 ----
---- EP [1/5] | BTCH [1470/1615] ||| train_loss = 0.01365 ----
---- EP [1/5] | BTCH [1471/1615] ||| train_loss = 0.01480 ----
---- EP [1/5] | BTCH [1472/1615] ||| train_loss = 0.00941 ----
---- EP [1/5] | BTCH [1473/1615] ||| train_loss = 0.01234 ----
---- EP [1/5] | BTCH [1474/1615] ||| train_loss = 0.01510 ----
---- EP [1/5] | BTCH [1475/1615] ||| train_loss = 0.01125 ----
---- EP [1/5] | BTCH [1476/1615] ||| train_loss = 0.00996 ----
---- EP [1/5] | BTCH [1477/1615] ||| train_loss = 0.01535 ----
---- EP [1/5] | BTCH [1478/1615] ||| train_loss = 0.00800 ----
---- EP [1/5] | BTCH [1479/1615] ||| train_loss = 0.01363 ----
---- EP [1/5] | BTCH [1480/1615] ||| train_loss = 0.01546 ----
---- EP [1/5] | BTCH [1481/1615] ||| train_loss = 0.00776 ----
---- EP [1/5] | BTCH [1482/1615] ||| train_loss = 0.01154 ----
---- EP [1/5] | BTCH [1483/1615] ||| train_loss = 0.01379 ----
---- EP [1/5] | BTCH [1484/1615] ||| train_loss = 0.00733 ----
---- EP [1/5] | BTCH [1485/1615] ||| train_loss = 0.01199 ----
---- EP [1/5] | BTCH [1486/1615] ||| train_loss = 0.01066 ----
---- EP [1/5] | BTCH [1487/1615] ||| train_loss = 0.00994 ----
---- EP [1/5] | BTCH [1488/1615] ||| train_loss = 0.01390 ----
---- EP [1/5] | BTCH [1489/1615] ||| train_loss = 0.01117 ----
---- EP [1/5] | BTCH [1490/1615] ||| train_loss = 0.01354 ----
---- EP [1/5] | BTCH [1491/1615] ||| train_loss = 0.01693 ----
---- EP [1/5] | BTCH [1492/1615] ||| train_loss = 0.01558 ----
---- EP [1/5] | BTCH [1493/1615] ||| train_loss = 0.01532 ----
---- EP [1/5] | BTCH [1494/1615] ||| train_loss = 0.01561 ----
---- EP [1/5] | BTCH [1495/1615] ||| train_loss = 0.01193 ----
---- EP [1/5] | BTCH [1496/1615] ||| train_loss = 0.01258 ----
---- EP [1/5] | BTCH [1497/1615] ||| train_loss = 0.01089 ----
---- EP [1/5] | BTCH [1498/1615] ||| train_loss = 0.01831 ----
---- EP [1/5] | BTCH [1499/1615] ||| train_loss = 0.00945 ----
---- EP [1/5] | BTCH [1500/1615] ||| train_loss = 0.01312 ----
---- EP [1/5] | BTCH [1501/1615] ||| train_loss = 0.01025 ----
---- EP [1/5] | BTCH [1502/1615] ||| train_loss = 0.01279 ----
---- EP [1/5] | BTCH [1503/1615] ||| train_loss = 0.01523 ----
---- EP [1/5] | BTCH [1504/1615] ||| train_loss = 0.00802 ----
---- EP [1/5] | BTCH [1505/1615] ||| train_loss = 0.01203 ----
---- EP [1/5] | BTCH [1506/1615] ||| train_loss = 0.01343 ----
---- EP [1/5] | BTCH [1507/1615] ||| train_loss = 0.01398 ----
---- EP [1/5] | BTCH [1508/1615] ||| train_loss = 0.01370 ----
---- EP [1/5] | BTCH [1509/1615] ||| train_loss = 0.01431 ----
---- EP [1/5] | BTCH [1510/1615] ||| train_loss = 0.01297 ----
---- EP [1/5] | BTCH [1511/1615] ||| train_loss = 0.01240 ----
---- EP [1/5] | BTCH [1512/1615] ||| train_loss = 0.00915 ----
---- EP [1/5] | BTCH [1513/1615] ||| train_loss = 0.00713 ----
---- EP [1/5] | BTCH [1514/1615] ||| train_loss = 0.01142 ----
---- EP [1/5] | BTCH [1515/1615] ||| train_loss = 0.01105 ----
---- EP [1/5] | BTCH [1516/1615] ||| train_loss = 0.00988 ----
---- EP [1/5] | BTCH [1517/1615] ||| train_loss = 0.01244 ----
---- EP [1/5] | BTCH [1518/1615] ||| train_loss = 0.01394 ----
---- EP [1/5] | BTCH [1519/1615] ||| train_loss = 0.01081 ----
---- EP [1/5] | BTCH [1520/1615] ||| train_loss = 0.01715 ----
---- EP [1/5] | BTCH [1521/1615] ||| train_loss = 0.01312 ----
---- EP [1/5] | BTCH [1522/1615] ||| train_loss = 0.01194 ----
---- EP [1/5] | BTCH [1523/1615] ||| train_loss = 0.01369 ----
---- EP [1/5] | BTCH [1524/1615] ||| train_loss = 0.00787 ----
---- EP [1/5] | BTCH [1525/1615] ||| train_loss = 0.01231 ----
---- EP [1/5] | BTCH [1526/1615] ||| train_loss = 0.00987 ----
---- EP [1/5] | BTCH [1527/1615] ||| train_loss = 0.01696 ----
---- EP [1/5] | BTCH [1528/1615] ||| train_loss = 0.01612 ----
---- EP [1/5] | BTCH [1529/1615] ||| train_loss = 0.01312 ----
---- EP [1/5] | BTCH [1530/1615] ||| train_loss = 0.00888 ----
---- EP [1/5] | BTCH [1531/1615] ||| train_loss = 0.00829 ----
---- EP [1/5] | BTCH [1532/1615] ||| train_loss = 0.01165 ----
---- EP [1/5] | BTCH [1533/1615] ||| train_loss = 0.01405 ----
---- EP [1/5] | BTCH [1534/1615] ||| train_loss = 0.01736 ----
---- EP [1/5] | BTCH [1535/1615] ||| train_loss = 0.01168 ----
---- EP [1/5] | BTCH [1536/1615] ||| train_loss = 0.00808 ----
---- EP [1/5] | BTCH [1537/1615] ||| train_loss = 0.01246 ----
---- EP [1/5] | BTCH [1538/1615] ||| train_loss = 0.01445 ----
---- EP [1/5] | BTCH [1539/1615] ||| train_loss = 0.00977 ----
---- EP [1/5] | BTCH [1540/1615] ||| train_loss = 0.01188 ----
---- EP [1/5] | BTCH [1541/1615] ||| train_loss = 0.01082 ----
---- EP [1/5] | BTCH [1542/1615] ||| train_loss = 0.00929 ----
---- EP [1/5] | BTCH [1543/1615] ||| train_loss = 0.00919 ----
---- EP [1/5] | BTCH [1544/1615] ||| train_loss = 0.01229 ----
---- EP [1/5] | BTCH [1545/1615] ||| train_loss = 0.01253 ----
---- EP [1/5] | BTCH [1546/1615] ||| train_loss = 0.00958 ----
---- EP [1/5] | BTCH [1547/1615] ||| train_loss = 0.01375 ----
---- EP [1/5] | BTCH [1548/1615] ||| train_loss = 0.01332 ----
---- EP [1/5] | BTCH [1549/1615] ||| train_loss = 0.01301 ----
---- EP [1/5] | BTCH [1550/1615] ||| train_loss = 0.01112 ----
---- EP [1/5] | BTCH [1551/1615] ||| train_loss = 0.01104 ----
---- EP [1/5] | BTCH [1552/1615] ||| train_loss = 0.01634 ----
---- EP [1/5] | BTCH [1553/1615] ||| train_loss = 0.01420 ----
---- EP [1/5] | BTCH [1554/1615] ||| train_loss = 0.01394 ----
---- EP [1/5] | BTCH [1555/1615] ||| train_loss = 0.01263 ----
---- EP [1/5] | BTCH [1556/1615] ||| train_loss = 0.01293 ----
---- EP [1/5] | BTCH [1557/1615] ||| train_loss = 0.01488 ----
---- EP [1/5] | BTCH [1558/1615] ||| train_loss = 0.01424 ----
---- EP [1/5] | BTCH [1559/1615] ||| train_loss = 0.01393 ----
---- EP [1/5] | BTCH [1560/1615] ||| train_loss = 0.01370 ----
---- EP [1/5] | BTCH [1561/1615] ||| train_loss = 0.00727 ----
---- EP [1/5] | BTCH [1562/1615] ||| train_loss = 0.01257 ----
---- EP [1/5] | BTCH [1563/1615] ||| train_loss = 0.01025 ----
---- EP [1/5] | BTCH [1564/1615] ||| train_loss = 0.01407 ----
---- EP [1/5] | BTCH [1565/1615] ||| train_loss = 0.01492 ----
---- EP [1/5] | BTCH [1566/1615] ||| train_loss = 0.01315 ----
---- EP [1/5] | BTCH [1567/1615] ||| train_loss = 0.01572 ----
---- EP [1/5] | BTCH [1568/1615] ||| train_loss = 0.00984 ----
---- EP [1/5] | BTCH [1569/1615] ||| train_loss = 0.01018 ----
---- EP [1/5] | BTCH [1570/1615] ||| train_loss = 0.01803 ----
---- EP [1/5] | BTCH [1571/1615] ||| train_loss = 0.01211 ----
---- EP [1/5] | BTCH [1572/1615] ||| train_loss = 0.01243 ----
---- EP [1/5] | BTCH [1573/1615] ||| train_loss = 0.01293 ----
---- EP [1/5] | BTCH [1574/1615] ||| train_loss = 0.01511 ----
---- EP [1/5] | BTCH [1575/1615] ||| train_loss = 0.00697 ----
---- EP [1/5] | BTCH [1576/1615] ||| train_loss = 0.01255 ----
---- EP [1/5] | BTCH [1577/1615] ||| train_loss = 0.01157 ----
---- EP [1/5] | BTCH [1578/1615] ||| train_loss = 0.01380 ----
---- EP [1/5] | BTCH [1579/1615] ||| train_loss = 0.01356 ----
---- EP [1/5] | BTCH [1580/1615] ||| train_loss = 0.01130 ----
---- EP [1/5] | BTCH [1581/1615] ||| train_loss = 0.00956 ----
---- EP [1/5] | BTCH [1582/1615] ||| train_loss = 0.00937 ----
---- EP [1/5] | BTCH [1583/1615] ||| train_loss = 0.01613 ----
---- EP [1/5] | BTCH [1584/1615] ||| train_loss = 0.00894 ----
---- EP [1/5] | BTCH [1585/1615] ||| train_loss = 0.01074 ----
---- EP [1/5] | BTCH [1586/1615] ||| train_loss = 0.01103 ----
---- EP [1/5] | BTCH [1587/1615] ||| train_loss = 0.00900 ----
---- EP [1/5] | BTCH [1588/1615] ||| train_loss = 0.01143 ----
---- EP [1/5] | BTCH [1589/1615] ||| train_loss = 0.01176 ----
---- EP [1/5] | BTCH [1590/1615] ||| train_loss = 0.01122 ----
---- EP [1/5] | BTCH [1591/1615] ||| train_loss = 0.01059 ----
---- EP [1/5] | BTCH [1592/1615] ||| train_loss = 0.00626 ----
---- EP [1/5] | BTCH [1593/1615] ||| train_loss = 0.00782 ----
---- EP [1/5] | BTCH [1594/1615] ||| train_loss = 0.01464 ----
---- EP [1/5] | BTCH [1595/1615] ||| train_loss = 0.01104 ----
---- EP [1/5] | BTCH [1596/1615] ||| train_loss = 0.01332 ----
---- EP [1/5] | BTCH [1597/1615] ||| train_loss = 0.01111 ----
---- EP [1/5] | BTCH [1598/1615] ||| train_loss = 0.01785 ----
---- EP [1/5] | BTCH [1599/1615] ||| train_loss = 0.00928 ----
---- EP [1/5] | BTCH [1600/1615] ||| train_loss = 0.01507 ----
---- EP [1/5] | BTCH [1601/1615] ||| train_loss = 0.01039 ----
---- EP [1/5] | BTCH [1602/1615] ||| train_loss = 0.00967 ----
---- EP [1/5] | BTCH [1603/1615] ||| train_loss = 0.01292 ----
---- EP [1/5] | BTCH [1604/1615] ||| train_loss = 0.01231 ----
---- EP [1/5] | BTCH [1605/1615] ||| train_loss = 0.01790 ----
---- EP [1/5] | BTCH [1606/1615] ||| train_loss = 0.01154 ----
---- EP [1/5] | BTCH [1607/1615] ||| train_loss = 0.01017 ----
---- EP [1/5] | BTCH [1608/1615] ||| train_loss = 0.01611 ----
---- EP [1/5] | BTCH [1609/1615] ||| train_loss = 0.01393 ----
---- EP [1/5] | BTCH [1610/1615] ||| train_loss = 0.01191 ----
VAL ||| loss = 0.012431163301520401, psnr = 31.23983383178711, ssim = 0.9127837419509888
---- EP [1/5] | BTCH [1611/1615] ||| train_loss = 0.01175 ----
---- EP [1/5] | BTCH [1612/1615] ||| train_loss = 0.01031 ----
---- EP [1/5] | BTCH [1613/1615] ||| train_loss = 0.01476 ----
---- EP [1/5] | BTCH [1614/1615] ||| train_loss = 0.01253 ----
---- EP [1/5] | BTCH [1615/1615] ||| train_loss = 0.01427 ----
---- EP [2/5] | BTCH [1/1615] ||| train_loss = 0.01535 ----
---- EP [2/5] | BTCH [2/1615] ||| train_loss = 0.01189 ----
---- EP [2/5] | BTCH [3/1615] ||| train_loss = 0.01072 ----
---- EP [2/5] | BTCH [4/1615] ||| train_loss = 0.01496 ----
---- EP [2/5] | BTCH [5/1615] ||| train_loss = 0.01155 ----
---- EP [2/5] | BTCH [6/1615] ||| train_loss = 0.01328 ----
---- EP [2/5] | BTCH [7/1615] ||| train_loss = 0.01219 ----
---- EP [2/5] | BTCH [8/1615] ||| train_loss = 0.01444 ----
---- EP [2/5] | BTCH [9/1615] ||| train_loss = 0.01164 ----
---- EP [2/5] | BTCH [10/1615] ||| train_loss = 0.01172 ----
---- EP [2/5] | BTCH [11/1615] ||| train_loss = 0.01207 ----
---- EP [2/5] | BTCH [12/1615] ||| train_loss = 0.01036 ----
---- EP [2/5] | BTCH [13/1615] ||| train_loss = 0.01214 ----
---- EP [2/5] | BTCH [14/1615] ||| train_loss = 0.00914 ----
---- EP [2/5] | BTCH [15/1615] ||| train_loss = 0.01400 ----
---- EP [2/5] | BTCH [16/1615] ||| train_loss = 0.02022 ----
---- EP [2/5] | BTCH [17/1615] ||| train_loss = 0.00988 ----
---- EP [2/5] | BTCH [18/1615] ||| train_loss = 0.00750 ----
---- EP [2/5] | BTCH [19/1615] ||| train_loss = 0.01059 ----
---- EP [2/5] | BTCH [20/1615] ||| train_loss = 0.01110 ----
---- EP [2/5] | BTCH [21/1615] ||| train_loss = 0.01124 ----
---- EP [2/5] | BTCH [22/1615] ||| train_loss = 0.00909 ----
---- EP [2/5] | BTCH [23/1615] ||| train_loss = 0.01526 ----
---- EP [2/5] | BTCH [24/1615] ||| train_loss = 0.01040 ----
---- EP [2/5] | BTCH [25/1615] ||| train_loss = 0.01406 ----
---- EP [2/5] | BTCH [26/1615] ||| train_loss = 0.00962 ----
---- EP [2/5] | BTCH [27/1615] ||| train_loss = 0.01619 ----
---- EP [2/5] | BTCH [28/1615] ||| train_loss = 0.01460 ----
---- EP [2/5] | BTCH [29/1615] ||| train_loss = 0.01390 ----
---- EP [2/5] | BTCH [30/1615] ||| train_loss = 0.00916 ----
---- EP [2/5] | BTCH [31/1615] ||| train_loss = 0.01502 ----
---- EP [2/5] | BTCH [32/1615] ||| train_loss = 0.01058 ----
---- EP [2/5] | BTCH [33/1615] ||| train_loss = 0.00758 ----
---- EP [2/5] | BTCH [34/1615] ||| train_loss = 0.01019 ----
---- EP [2/5] | BTCH [35/1615] ||| train_loss = 0.01402 ----
---- EP [2/5] | BTCH [36/1615] ||| train_loss = 0.01205 ----
---- EP [2/5] | BTCH [37/1615] ||| train_loss = 0.01470 ----
---- EP [2/5] | BTCH [38/1615] ||| train_loss = 0.01555 ----
---- EP [2/5] | BTCH [39/1615] ||| train_loss = 0.00958 ----
---- EP [2/5] | BTCH [40/1615] ||| train_loss = 0.01147 ----
---- EP [2/5] | BTCH [41/1615] ||| train_loss = 0.01229 ----
---- EP [2/5] | BTCH [42/1615] ||| train_loss = 0.01332 ----
---- EP [2/5] | BTCH [43/1615] ||| train_loss = 0.01471 ----
---- EP [2/5] | BTCH [44/1615] ||| train_loss = 0.01175 ----
---- EP [2/5] | BTCH [45/1615] ||| train_loss = 0.01371 ----
---- EP [2/5] | BTCH [46/1615] ||| train_loss = 0.01233 ----
---- EP [2/5] | BTCH [47/1615] ||| train_loss = 0.01826 ----
---- EP [2/5] | BTCH [48/1615] ||| train_loss = 0.01368 ----
---- EP [2/5] | BTCH [49/1615] ||| train_loss = 0.01710 ----
---- EP [2/5] | BTCH [50/1615] ||| train_loss = 0.01370 ----
---- EP [2/5] | BTCH [51/1615] ||| train_loss = 0.01079 ----
---- EP [2/5] | BTCH [52/1615] ||| train_loss = 0.00887 ----
---- EP [2/5] | BTCH [53/1615] ||| train_loss = 0.01011 ----
---- EP [2/5] | BTCH [54/1615] ||| train_loss = 0.02088 ----
---- EP [2/5] | BTCH [55/1615] ||| train_loss = 0.01624 ----
---- EP [2/5] | BTCH [56/1615] ||| train_loss = 0.00849 ----
---- EP [2/5] | BTCH [57/1615] ||| train_loss = 0.00920 ----
---- EP [2/5] | BTCH [58/1615] ||| train_loss = 0.01705 ----
---- EP [2/5] | BTCH [59/1615] ||| train_loss = 0.01117 ----
---- EP [2/5] | BTCH [60/1615] ||| train_loss = 0.00778 ----
---- EP [2/5] | BTCH [61/1615] ||| train_loss = 0.00961 ----
---- EP [2/5] | BTCH [62/1615] ||| train_loss = 0.00868 ----
---- EP [2/5] | BTCH [63/1615] ||| train_loss = 0.01005 ----
---- EP [2/5] | BTCH [64/1615] ||| train_loss = 0.01686 ----
---- EP [2/5] | BTCH [65/1615] ||| train_loss = 0.00672 ----
---- EP [2/5] | BTCH [66/1615] ||| train_loss = 0.01128 ----
---- EP [2/5] | BTCH [67/1615] ||| train_loss = 0.01709 ----
---- EP [2/5] | BTCH [68/1615] ||| train_loss = 0.01258 ----
---- EP [2/5] | BTCH [69/1615] ||| train_loss = 0.01329 ----
---- EP [2/5] | BTCH [70/1615] ||| train_loss = 0.01679 ----
---- EP [2/5] | BTCH [71/1615] ||| train_loss = 0.01078 ----
---- EP [2/5] | BTCH [72/1615] ||| train_loss = 0.01729 ----
---- EP [2/5] | BTCH [73/1615] ||| train_loss = 0.00939 ----
---- EP [2/5] | BTCH [74/1615] ||| train_loss = 0.01151 ----
---- EP [2/5] | BTCH [75/1615] ||| train_loss = 0.01622 ----
---- EP [2/5] | BTCH [76/1615] ||| train_loss = 0.01240 ----
---- EP [2/5] | BTCH [77/1615] ||| train_loss = 0.01359 ----
---- EP [2/5] | BTCH [78/1615] ||| train_loss = 0.01018 ----
---- EP [2/5] | BTCH [79/1615] ||| train_loss = 0.00941 ----
---- EP [2/5] | BTCH [80/1615] ||| train_loss = 0.00910 ----
---- EP [2/5] | BTCH [81/1615] ||| train_loss = 0.00975 ----
---- EP [2/5] | BTCH [82/1615] ||| train_loss = 0.00990 ----
---- EP [2/5] | BTCH [83/1615] ||| train_loss = 0.00962 ----
---- EP [2/5] | BTCH [84/1615] ||| train_loss = 0.01189 ----
---- EP [2/5] | BTCH [85/1615] ||| train_loss = 0.01196 ----
---- EP [2/5] | BTCH [86/1615] ||| train_loss = 0.00934 ----
---- EP [2/5] | BTCH [87/1615] ||| train_loss = 0.00723 ----
---- EP [2/5] | BTCH [88/1615] ||| train_loss = 0.01350 ----
---- EP [2/5] | BTCH [89/1615] ||| train_loss = 0.01465 ----
---- EP [2/5] | BTCH [90/1615] ||| train_loss = 0.01397 ----
---- EP [2/5] | BTCH [91/1615] ||| train_loss = 0.01263 ----
---- EP [2/5] | BTCH [92/1615] ||| train_loss = 0.01237 ----
---- EP [2/5] | BTCH [93/1615] ||| train_loss = 0.01055 ----
---- EP [2/5] | BTCH [94/1615] ||| train_loss = 0.01399 ----
---- EP [2/5] | BTCH [95/1615] ||| train_loss = 0.00750 ----
---- EP [2/5] | BTCH [96/1615] ||| train_loss = 0.00902 ----
---- EP [2/5] | BTCH [97/1615] ||| train_loss = 0.01151 ----
---- EP [2/5] | BTCH [98/1615] ||| train_loss = 0.00749 ----
---- EP [2/5] | BTCH [99/1615] ||| train_loss = 0.01093 ----
---- EP [2/5] | BTCH [100/1615] ||| train_loss = 0.01773 ----
---- EP [2/5] | BTCH [101/1615] ||| train_loss = 0.01151 ----
---- EP [2/5] | BTCH [102/1615] ||| train_loss = 0.01094 ----
---- EP [2/5] | BTCH [103/1615] ||| train_loss = 0.01172 ----
---- EP [2/5] | BTCH [104/1615] ||| train_loss = 0.00987 ----
---- EP [2/5] | BTCH [105/1615] ||| train_loss = 0.01476 ----
---- EP [2/5] | BTCH [106/1615] ||| train_loss = 0.01288 ----
---- EP [2/5] | BTCH [107/1615] ||| train_loss = 0.01304 ----
---- EP [2/5] | BTCH [108/1615] ||| train_loss = 0.01340 ----
---- EP [2/5] | BTCH [109/1615] ||| train_loss = 0.01666 ----
---- EP [2/5] | BTCH [110/1615] ||| train_loss = 0.01600 ----
---- EP [2/5] | BTCH [111/1615] ||| train_loss = 0.00743 ----
---- EP [2/5] | BTCH [112/1615] ||| train_loss = 0.01489 ----
---- EP [2/5] | BTCH [113/1615] ||| train_loss = 0.01223 ----
---- EP [2/5] | BTCH [114/1615] ||| train_loss = 0.01403 ----
---- EP [2/5] | BTCH [115/1615] ||| train_loss = 0.00884 ----
---- EP [2/5] | BTCH [116/1615] ||| train_loss = 0.01425 ----
---- EP [2/5] | BTCH [117/1615] ||| train_loss = 0.01267 ----
---- EP [2/5] | BTCH [118/1615] ||| train_loss = 0.01351 ----
---- EP [2/5] | BTCH [119/1615] ||| train_loss = 0.01165 ----
---- EP [2/5] | BTCH [120/1615] ||| train_loss = 0.01951 ----
---- EP [2/5] | BTCH [121/1615] ||| train_loss = 0.00954 ----
---- EP [2/5] | BTCH [122/1615] ||| train_loss = 0.01129 ----
---- EP [2/5] | BTCH [123/1615] ||| train_loss = 0.01415 ----
---- EP [2/5] | BTCH [124/1615] ||| train_loss = 0.01210 ----
---- EP [2/5] | BTCH [125/1615] ||| train_loss = 0.01379 ----
---- EP [2/5] | BTCH [126/1615] ||| train_loss = 0.01188 ----
---- EP [2/5] | BTCH [127/1615] ||| train_loss = 0.02000 ----
---- EP [2/5] | BTCH [128/1615] ||| train_loss = 0.01409 ----
---- EP [2/5] | BTCH [129/1615] ||| train_loss = 0.01788 ----
---- EP [2/5] | BTCH [130/1615] ||| train_loss = 0.00893 ----
---- EP [2/5] | BTCH [131/1615] ||| train_loss = 0.01303 ----
---- EP [2/5] | BTCH [132/1615] ||| train_loss = 0.01396 ----
---- EP [2/5] | BTCH [133/1615] ||| train_loss = 0.01050 ----
---- EP [2/5] | BTCH [134/1615] ||| train_loss = 0.01163 ----
---- EP [2/5] | BTCH [135/1615] ||| train_loss = 0.00958 ----
---- EP [2/5] | BTCH [136/1615] ||| train_loss = 0.00847 ----
---- EP [2/5] | BTCH [137/1615] ||| train_loss = 0.00850 ----
---- EP [2/5] | BTCH [138/1615] ||| train_loss = 0.00871 ----
---- EP [2/5] | BTCH [139/1615] ||| train_loss = 0.00633 ----
---- EP [2/5] | BTCH [140/1615] ||| train_loss = 0.01090 ----
---- EP [2/5] | BTCH [141/1615] ||| train_loss = 0.01489 ----
---- EP [2/5] | BTCH [142/1615] ||| train_loss = 0.01047 ----
---- EP [2/5] | BTCH [143/1615] ||| train_loss = 0.00845 ----
---- EP [2/5] | BTCH [144/1615] ||| train_loss = 0.01241 ----
---- EP [2/5] | BTCH [145/1615] ||| train_loss = 0.01381 ----
---- EP [2/5] | BTCH [146/1615] ||| train_loss = 0.01653 ----
---- EP [2/5] | BTCH [147/1615] ||| train_loss = 0.01220 ----
---- EP [2/5] | BTCH [148/1615] ||| train_loss = 0.01530 ----
---- EP [2/5] | BTCH [149/1615] ||| train_loss = 0.00779 ----
---- EP [2/5] | BTCH [150/1615] ||| train_loss = 0.01312 ----
---- EP [2/5] | BTCH [151/1615] ||| train_loss = 0.01005 ----
---- EP [2/5] | BTCH [152/1615] ||| train_loss = 0.01569 ----
---- EP [2/5] | BTCH [153/1615] ||| train_loss = 0.01339 ----
---- EP [2/5] | BTCH [154/1615] ||| train_loss = 0.01789 ----
---- EP [2/5] | BTCH [155/1615] ||| train_loss = 0.01682 ----
---- EP [2/5] | BTCH [156/1615] ||| train_loss = 0.01766 ----
---- EP [2/5] | BTCH [157/1615] ||| train_loss = 0.01630 ----
---- EP [2/5] | BTCH [158/1615] ||| train_loss = 0.01097 ----
---- EP [2/5] | BTCH [159/1615] ||| train_loss = 0.00950 ----
---- EP [2/5] | BTCH [160/1615] ||| train_loss = 0.01261 ----
---- EP [2/5] | BTCH [161/1615] ||| train_loss = 0.00583 ----
VAL ||| loss = 0.012438332011447133, psnr = 31.24063491821289, ssim = 0.9125926494598389
---- EP [2/5] | BTCH [162/1615] ||| train_loss = 0.01131 ----
---- EP [2/5] | BTCH [163/1615] ||| train_loss = 0.01569 ----
---- EP [2/5] | BTCH [164/1615] ||| train_loss = 0.01211 ----
---- EP [2/5] | BTCH [165/1615] ||| train_loss = 0.00921 ----
---- EP [2/5] | BTCH [166/1615] ||| train_loss = 0.01218 ----
---- EP [2/5] | BTCH [167/1615] ||| train_loss = 0.01141 ----
---- EP [2/5] | BTCH [168/1615] ||| train_loss = 0.01006 ----
---- EP [2/5] | BTCH [169/1615] ||| train_loss = 0.01038 ----
